ts_site,people_now,optimal,max_capacity,ts_reported,source_url
2026-01-05T01:24:43,0,80,161,2026-01-05 01:24,https://rent.pe.ntu.edu.tw/
2026-01-05T01:43:12,0,80,161,2026-01-05 01:43,https://rent.pe.ntu.edu.tw/
2026-01-05T01:54:15,0,80,161,2026-01-05 01:54,https://rent.pe.ntu.edu.tw/
2026-01-05T02:32:19,0,80,161,2026-01-05 02:32,https://rent.pe.ntu.edu.tw/
2026-01-05T02:57:53,0,80,161,2026-01-05 02:57,https://rent.pe.ntu.edu.tw/
2026-01-05T03:20:56,0,80,161,2026-01-05 03:20,https://rent.pe.ntu.edu.tw/
2026-01-05T03:39:24,0,80,161,2026-01-05 03:39,https://rent.pe.ntu.edu.tw/
2026-01-05T03:52:51,0,80,161,2026-01-05 03:52,https://rent.pe.ntu.edu.tw/
2026-01-05T04:26:17,0,80,161,2026-01-05 04:26,https://rent.pe.ntu.edu.tw/
2026-01-05T04:46:03,0,80,161,2026-01-05 04:46,https://rent.pe.ntu.edu.tw/
2026-01-05T04:57:29,0,80,161,2026-01-05 04:57,https://rent.pe.ntu.edu.tw/
2026-01-05T05:23:12,0,80,161,2026-01-05 05:23,https://rent.pe.ntu.edu.tw/
2026-01-05T05:41:43,0,80,161,2026-01-05 05:41,https://rent.pe.ntu.edu.tw/
2026-01-05T05:52:54,1,80,161,2026-01-05 05:52,https://rent.pe.ntu.edu.tw/
2026-01-05T06:22:52,6,80,161,2026-01-05 06:22,https://rent.pe.ntu.edu.tw/
2026-01-05T06:45:43,7,80,161,2026-01-05 06:45,https://rent.pe.ntu.edu.tw/
2026-01-05T06:57:15,8,80,161,2026-01-05 06:57,https://rent.pe.ntu.edu.tw/
2026-01-05T07:24:02,12,80,161,2026-01-05 07:24,https://rent.pe.ntu.edu.tw/
2026-01-05T07:43:00,14,80,161,2026-01-05 07:43,https://rent.pe.ntu.edu.tw/
2026-01-05T07:54:40,11,80,161,2026-01-05 07:54,https://rent.pe.ntu.edu.tw/
2026-01-05T10:01:17,44,80,161,2026-01-05 10:01,https://rent.pe.ntu.edu.tw/
2026-01-05T12:03:05,30,80,161,2026-01-05 12:03,https://rent.pe.ntu.edu.tw/
2026-01-05T13:07:17,33,80,161,2026-01-05 13:07,https://rent.pe.ntu.edu.tw/
2026-01-05T13:53:24,43,80,161,2026-01-05 13:53,https://rent.pe.ntu.edu.tw/
2026-01-05T13:58:12,43,80,161,2026-01-05 13:58,https://rent.pe.ntu.edu.tw/
2026-01-05T14:44:39,57,80,161,2026-01-05 14:44,https://rent.pe.ntu.edu.tw/
